Var #,Bucket / Workflow Stage,Variable Name,Data Type,"Representative / Possible Values (Ranges, Constraints & Examples)",Relevant Data Standard(s),CDM Entity,Cardinality,Dependency Type,Data Sensitivity Flag,Confidence in Representative / Possible Values,Confidence this Variable is Collected in the EGFR NSCLC Diagnostic Pathway
84,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",MDT treatment recommendation,Coded (SNOMED CT / dm+d / RxNorm) + Structured text,"Compound: recommended_therapy (Enum: Osimertinib_80mg_OD | Osimertinib_chemotherapy | Amivantamab_lazertinib | Dacomitinib_45mg_OD | Afatinib_40mg_OD | Gefitinib_250mg_OD | Erlotinib_150mg_OD | Platinum_chemotherapy | Adjuvant_osimertinib_36mo | LAURA_osimertinib_unresectable_stage3 | Best_supportive_care | Clinical_trial | Other) + treatment_intent (Enum: Curative | Palliative | Adjuvant | Neoadjuvant_clinical_trial_only) + stage_context (Enum: Metastatic_1L | Metastatic_2L_T790M | Adjuvant_IB_IIIA | Locally_advanced_stage3 | Clinical_trial). 

Constraints / Possible Values
Format: Compound (String SNOMED CT code + String INN drug name + String recommendation text)",SNOMED CT | dm+d | ATC | HL7 FHIR (structural),MDTRecord,1:N - MDT recommendation updated at each MDT meeting,ALWAYS,CLINICAL-SENSITIVE,High,High
85,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Results embargo status (boolean),Boolean,"Type: Boolean: True | False. True = results must not auto-release to patient portal until verbal consultation confirmed

Constraints / Possible Values
True / False | Clinical meaning: True = results held pending MDT review; False = results released

Additional recommended metadata: embargo_lift_datetime (ISO 8601) and releasing_clinician_role - more relevant for US market",HL7 FHIR (structural),MDTRecord,1:N - Embargo status per result communication event,ALWAYS,CLINICAL-SENSITIVE,Medium,Medium
86,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Treatment intent,Enum,"Enum: Curative_definitive | Palliative | Adjuvant | Neoadjuvant_clinical_trial_only | Best_supportive_care. 

Constraints / Possible Values
Curative_definitive (includes radical intent) / Palliative / Adjuvant / Neoadjuvant_clinical_trial_only (EGFR+ NSCLC: investigational only) / Best_supportive_care",SNOMED CT | HL7 FHIR (structural),TreatmentRecord,1:N - Treatment intent may change across treatment lines,ALWAYS,CLINICAL-SENSITIVE,High,High
87,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance","Drug name, dose, and route of administration",String (INN + brand) + Float (mg) + Enum (route),"Compound: drug_name_INN (String) + dose_mg (Float) + frequency (Enum: OD | BD | TID | QID | Weekly | q3w | Other) + route (Enum: Oral | IV_infusion | Subcutaneous | Other). Examples: Osimertinib 80 mg OD Oral; Amivantamab SC q1w then q2w; Lazertinib 240 mg OD Oral.

Constraints / Possible Values
Drug INN: osimertinib / erlotinib / gefitinib / afatinib / dacomitinib (NICE TA595) / amivantamab / lazertinib / Other | Dose: Type: Float mg | Range: 40–1400 mg (amivantamab dose is weight-dependent: ~1050 mg <80 kg; ~1400 mg ≥80 kg IV; fixed dose SC per NICE TA1122) | Route: Oral / Intravenous / Subcutaneous / Other

Extended drug INN enum: Osimertinib_80mg_OD | Osimertinib_40mg_OD_reduced | Amivantamab_SC_q1w_then_q2w (NICE TA1122 preferred formulation) | Lazertinib_240mg_OD | Dacomitinib_45mg_OD | Afatinib_40mg_OD | Gefitinib_250mg_OD | Erlotinib_150mg_OD | Carboplatin_AUC5_q3w | Cisplatin_75mg_m2_q3w | Pemetrexed_500mg_m2_q3w | Etoposide_platinum | Other.",dm+d | ATC | SNOMED CT | HL7 FHIR (structural),TreatmentRecord,1:N - Multiple treatment lines possible (1L osimertinib → 2L post-resistance),CONDITIONAL,CLINICAL-SENSITIVE,High,High
88,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Baseline ILD status (boolean),Boolean + Enum,"Compound: ild_present (Boolean: True/False) + ild_type (Enum: None | NSIP (Nonspecific Interstitial Pneumonia) | UIP (Usual Interstitial Pneumonia) | DIP (Desquamative Interstitial Pneumonia) | RB-ILD | AIP | LIP | Unknown) + Severity (Enum: N/A | Mild (Grade 1 - asymptomatic, radiographic findings only) | Moderate (Grade 2 - symptomatic, not ADL-limiting) | Severe (Grade 3-4 - ADL-limiting/life-threatening)).

Constraints / Possible Values
ild_present: True / False | ild_type: None / NSIP / UIP / DIP / RB-ILD / AIP / LIP / Unknown | Severity: N/A / Mild / Moderate / Severe",SNOMED CT | HL7 FHIR (structural),TreatmentRecord,1:1 - One baseline ILD status (re-assessed at each treatment decision),GATEWAY,CLINICAL-SENSITIVE,High,High
89,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance","ICI exposure history (time since last ICI, months)",Float (months) + Boolean (recent exposure flag),"Compound: recent_ICI_exposure_le3months (Boolean: True/False) + months_since_last_ICI (Float) + last_ICI_drug (Enum: nivolumab | pembrolizumab | atezolizumab | durvalumab | avelumab | cemiplimab | ipilimumab | tremelimumab | None).

Constraints / Possible Values
recent_ICI_exposure_le3months: True / False | months_since_last_ICI: Type: Float | Min: 0 | Max: 24 | Unit: months | last_ICI_drug: nivolumab / pembrolizumab / atezolizumab / durvalumab / avelumab / cemiplimab / ipilimumab / tremelimumab / None

The <3 months threshold is a clinical warning (relative contraindication requiring risk-benefit discussion), not an absolute limit beyond concurrent use. Concurrent ICI+TKI = absolute contraindication.",SNOMED CT | ATC | HL7 FHIR (structural),TreatmentRecord,1:1 - One ICI exposure history per treatment decision point,GATEWAY,CLINICAL-SENSITIVE,Medium,Medium
90,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Surgical margin status (R0 / R1 / R2),Enum,"Enum: R0 | R1 | R2 | RX | Not_applicable. R0 = complete resection; R1 = microscopic positive margin; R2 = macroscopic positive margin; RX = unknown/cannot be assessed margin status. 

Constraints / Possible Values
R0 (complete resection - clear margins, curative intent achieved; eligible for adjuvant osimertinib stage IB-IIIA per ADAURA/NICE TA1043) / R1 (microscopic residual disease - positive margin on histology; adjuvant osimertinib NOT supported per ADAURA criteria; consider re-resection or palliative intent) / R2 (macroscopic residual disease - visible tumour remaining; adjuvant osimertinib NOT supported) / RX (unknown margin status) / Not_applicable (non-surgical patients) ",SNOMED CT | HL7 FHIR (structural),TreatmentRecord,1:1 - One surgical margin status per surgical procedure,CONDITIONAL,CLINICAL-SENSITIVE,Medium,Medium
91,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",RECIST 1.1 response assessment category,Enum (RECIST 1.1),"Enum (RECIST 1.1): CR | PR | SD | PD. CR = disappearance of all target lesions; all pathological lymph nodes (target or non-target) must have short axis <10mm. PR = ≥30% decrease in SLD of target lesions relative to baseline sum. SD = neither PR nor PD (typically must be maintained for ≥6–8 weeks per protocol). PD = ≥20% increase in SLD relative to nadir (smallest SLD on study, including baseline) AND absolute increase ≥5mm; OR appearance of one or more new lesions.

Constraints / Possible Values
Complete Response (CR) / Partial Response (PR) / Stable Disease (SD) / Progressive Disease (PD) 
",RECIST 1.1 | SNOMED CT | HL7 FHIR (structural),MonitoringEvent,1:N - RECIST response assessed at multiple monitoring timepoints,MONITORING ONLY,CLINICAL-SENSITIVE,High,High
92,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Sum of target lesion diameters (mm) at each monitoring timepoint,Float (mm) + Date (measurement date) + categorical delta from baseline,"Type: Float (mm). Range: 0.0–500.0 (sum of longest diameters of up to 5 target lesions, max 2 per organ). 

Constraints / Possible Values
sum_mm: Type: Float | Min: 0 | Max: 500 | Unit: mm | assessment_date: Format: ISO 8601 YYYY-MM-DD (date of imaging study, not date of radiology report) | reference_sum_baseline_mm: Float (baseline SLD, reference for PR calculation) | reference_sum_nadir_mm: Float (smallest SLD on study, reference for PD calculation) | recist_category: CR / PR / SD / PD / NE | percent_change_from_baseline: Type: Float | Unit: % (for PR calculation) | percent_change_from_nadir: Type: Float | Unit: % (for PD calculation)

",RECIST 1.1 | LOINC | HL7 FHIR (structural),MonitoringEvent,1:N - Lesion diameter sums measured at each monitoring timepoint,MONITORING ONLY,CLINICAL-SENSITIVE,High,High
93,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Clearance of primary EGFR mutation from ctDNA (boolean),Boolean + Date,"Compound: mutation_cleared (Boolean: True/False) + clearance_date (ISO 8601 YYYY-MM-DD) + clearance_VAF_at_timepoint (Float, 0–100%).

Constraints / Possible Values
mutation_cleared: True / False | clearance_date: Format: ISO 8601 YYYY-MM-DD | NULL permitted: Yes (clearance_date NULL if mutation not cleared) 
",SNOMED CT | HL7 FHIR (structural),MonitoringEvent,1:N - ctDNA clearance assessed at multiple monitoring timepoints,CONDITIONAL,GENOMIC,High,Medium
94,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",TKI discontinuation flare suspected (boolean),Boolean,"Type: Boolean: True | False. True = clinical suspicion of TKI discontinuation flare 

Constraints / Possible Values
flare_suspected: True / False | Clinical meaning: True = clinically significant or radiological progression occurring within 21 days of TKI discontinuation, not explained by pre-existing disease progression trajectory
",SNOMED CT | HL7 FHIR (structural),MonitoringEvent,1:N - TKI flare flag per progression assessment event,CONDITIONAL,CLINICAL-SENSITIVE,Medium,Medium
95,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Progression type at re-assessment,Enum,"Enum: Oligoprogression | Systemic_multi-site | CNS-only | Asymptomatic_slow 

Constraints / Possible Values
Oligoprogression / Systemic_multi-site / Asymptomatic_slow / Hyperprogression 
",SNOMED CT | RECIST 1.1 | HL7 FHIR (structural),MonitoringEvent,1:N - Progression type assessed per PD event,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
96,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Resistance mechanism detected (HGVS notation),String (HGVS notation) + Enum (resistance class),"Type: String (HGVS notation, multi-value). Key resistance mutations: T790M (NM_005228.5:c.2369C>T) | C797S (NM_005228.5:c.2389T>A) | L718Q, L792H | MET_amplification | HER2_ERBB2_amplification | BRAF_V600E | KRAS_G12X | PIK3CA_mutation | Cell_cycle_gene_alterations_CCNE1_CDK6 | SCLC_transformation | Squamous_transformation | Unknown_mechanism. Multiple mutations co-possible.

Constraints / Possible Values
HGVS Format: NM_[RefSeq]:c.[change] p.[protein] | Resistance classes: On-target EGFR mutation (T790M, C797S, L718Q, L792H) / Bypass pathway (MET amplification, BRAF V600E, KRAS, HER2 amplification, PIK3CA, cell cycle alterations) / Histologic transformation (SCLC, squamous)",HGVS | COSMIC | ClinVar | SNOMED CT | HL7 FHIR (structural),MonitoringEvent,1:N - Multiple resistance mechanisms may be detected; also at different timepoints,CONDITIONAL,GENOMIC,High,High
97,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Histologic transformation detected (boolean),Boolean,"Compound: transformation_detected (Boolean: True/False) + transformation_type (Enum: No_transformation | SCLC_transformation | Squamous_transformation | Combined_SCLC_adenocarcinoma | Large_cell_neuroendocrine_carcinoma_transformation | Other_histologic_transformation).

Constraints / Possible Values
transformation_detected: True / False | transformation_type: No_transformation / SCLC_transformation / Squamous_transformation / Combined_SCLC_adenocarcinoma / Large_cell_neuroendocrine_carcinoma_transformation / Other_histologic_transformation",SNOMED CT | ICD-O-3 | HL7 FHIR (structural),MonitoringEvent,1:N - Histologic transformation assessed per re-biopsy at progression,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
98,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Protocol region (US-NCCN / EU-ESMO / UK-NICE),Enum,"Enum: US-NCCN | EU-ESMO | UK-NICE | Japan-PMDA | APAC-Other | Other

Constraints / Possible Values
US-NCCN / EU-ESMO / UK-NICE / Japan-PMDA / APAC-Other / Other ",HL7 FHIR (structural),ProtocolMetadata,1:1 - One protocol region per patient record (set at enrolment),ALWAYS,UNRESTRICTED,High,High
99,"Bucket 6 - MDT, Treatment, Monitoring, and Resistance",Time from initial diagnosis to progression (months),Float (months),"Type: Float (months). Range: 0.0–120.0. Calculated: (date_progression − date_treatment_initiation) in months.

Constraints / Possible Values
Type: Float | Min: 0 | Max: 120 | Typical range: 3.5–42 months | Unit: months 
",HL7 FHIR (structural),OutcomeRecord,1:1 - One time-to-progression per primary progression event,CONDITIONAL,CLINICAL-SENSITIVE,High,High
100,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Assay scope - methylation profiling,Enum,Enum: Targeted_panel | Genome-wide. Allowed values: Targeted CpG panel | Genome-wide WGBS | cfMeDIP-seq | RRBS | EPIC array (850K/v1.0) | EPIC array (930K/v2.0) | 450K array | EM-seq | TET-assisted_bisulfite (TAB-seq) | TAPS (TET-assisted pyridine borane sequencing),No formal standard ,EpigenomicsAssay,1:N - Methylation assay scope per epigenomics sub-cohort timepoint,CONDITIONAL,GENOMIC,Low,Low
101,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Cytosine conversion chemistry,Enum,Enum: Bisulfite | Enzymatic. Allowed values: Bisulfite conversion (BS-seq) | Enzymatic methyl-seq (EM-seq) | Oxidative bisulfite (oxBS) | TET-assisted bisulfite (TAB-seq) | TAPS,No formal standard ,EpigenomicsAssay,1:N - Conversion chemistry per assay run,CONDITIONAL,GENOMIC,Low,Low
102,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Conversion efficiency (%),Float (%),Type: Float (%). Range: 90.0–100.0. ,No formal standard,EpigenomicsAssay,1:N - Conversion efficiency per assay run,CONDITIONAL,GENOMIC,Low,Low
103,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,cfDNA extraction method - methylation-preserving,Enum,Enum: Standard_silica_column | Microfluidic_size-exclusion | Nanoporous_MOF | Bead-based_magnetic | Size-selective_precipitation | cfDNA_dedicated_kit. ,No formal standard ,EpigenomicsAssay,1:N - Extraction method per cfDNA extraction for epigenomics,CONDITIONAL,GENOMIC,Low,Low
104,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Clinical indication - fragmentomics,Enum,Enum: High-risk_surveillance | Monitoring_add-on_to_ctDNA_NGS | Standalone_early_detection | Relapse_detection.  Allowed clinical indications: Early cancer detection | Treatment response monitoring | MRD detection | Tissue-of-origin determination | CHIP characterisation | Screening | Relapse detection ,No formal standard ,FragmentomicsAssay,1:N - Fragmentomics indication per test timepoint,CONDITIONAL,GENOMIC,Low,Low
105,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Sub-100 bp fragment recovery fraction,Float (fraction),"Type: Float (fraction, 0.00–1.00). 

Constraints / Possible Values
Min: 0.001 | Max: 0.10 |  Unit: Fraction of total cfDNA",No formal standard ,FragmentomicsAssay,1:N - Sub-100bp fraction per sequencing run,CONDITIONAL,GENOMIC,Low,Low
106,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Fragment size peak (bp) - fragmentomics,Float (bp),"Type: Float (bp)

Constraints / Possible Values
Min: 100 | Max: 200 | Typical healthy peak: 166 bp | Cancer peak range: 130–165 bp | Unit: bp",No formal standard ,FragmentomicsAssay,1:N - Fragment size peak per sequencing run,CONDITIONAL,GENOMIC,Low,Low
107,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Library preparation protocol - fragment-end preservation,Enum,Enum: End-motif_preserving_ligation-based | Standard_end-repair_ligation | Nanopore_direct_sequencing | Strand-specific_ligation | TELL-seq | SRSLY. ,No formal standard,FragmentomicsAssay,1:N - Library prep protocol per sequencing run,CONDITIONAL,GENOMIC,Low,Low
108,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Proteomic assay platform,Enum,Enum: SomaScan_7K | SomaScan_11K | Olink_Explore_1536 (legacy - largely superseded by Explore HT) | Olink_Explore_3072 | Olink_Explore_HT | Olink_Oncology_II | DIA-MS | PRM-MS | VeriStrat_MS | Other,No formal standard ,ProteomicsAssay,1:N - Proteomic platform per proteomics assay run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
109,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Sample type - proteomics,Enum,Enum: EDTA_plasma | Lithium_heparin_plasma | Serum | Phospho-inhibitor_plasma | CTAD_plasma.,SPREC V3.0 (sample type classification) | No formal standard for platform-specific compatibility mapping,ProteomicsAssay,1:N - Sample type per proteomics run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
110,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Clinical indication - proteomics,Enum,Enum: Treatment_baseline | Serial_monitoring | Resistance_characterisation | Immune_profiling | Pharmacodynamic_monitoring.  Allowed indications: Biomarker discovery | Treatment monitoring | Resistance characterisation | Immune profiling | Companion diagnostic | Multi-omic integration,No formal standard ,ProteomicsAssay,1:N - Clinical indication per proteomics run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
111,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Collection to centrifugation time (minutes),Integer (minutes),"Type: Integer (minutes). Range: 0–120 

Constraints 
Min: 0 | Max: 120 | Typical: ≤30 | Unit: minutes.",No formal standard | SPREC V3.0 (pre-analytical time-point documentation),ProteomicsAssay,1:N - Collection-to-centrifugation time per proteomics sample,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
112,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Hemolysis grade (SPREC),Enum,"Enum: H0 | H1 | H2 | H3. Hemolysis grade: H0 = no hemolysis, H1 = slight hemolysis, H2 = moderate hemolysis, H3 = severe hemolysis (visual scale). ",SPREC V3.0,ProteomicsAssay,1:N - Hemolysis grade per proteomics sample,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
113,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Phosphatase inhibitor added (boolean),Boolean,"Type: Boolean: True | False

",No formal standard,ProteomicsAssay,1:1 - One phosphatase inhibitor decision per proteomics run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
114,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Protein depletion applied (boolean),Compound: Boolean + Enum (method),Compound: depletion_applied (Boolean: True | False) + depletion_method (Enum: IgY-14_immunoaffinity | Seppro_IgY14 | Agilent_MARS_14 | ProteoSpin | MARS_14 | Other | Not_applicable). ,No formal standard -,ProteomicsAssay,1:1 - One protein depletion decision per proteomics run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
115,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Freeze-thaw cycle count - proteomics,Integer,Type: Integer. Range: 0–10; Min: 0 | Max: 5 | Unit: cycles ,SPREC V3.0 (freeze-thaw cycle documentation position 6 of SPREC code string),ProteomicsAssay,1:N - Freeze-thaw cycles per proteomics aliquot,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
116,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Protein stabiliser added (boolean),Boolean,Type: Boolean: True | False,No formal standard ,ProteomicsAssay,1:1 - One protein stabiliser decision per proteomics run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
117,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Spatial transcriptomics platform selected,Enum,Enum: 10X_Visium_CytAssist | 10X_Visium_HD | 10X_Xenium_In_Situ | NanoString_CosMx_SMI | NanoString_GeoMx_DSP | Stereoseq | MERFISH_Vizgen | Resolve_Biosciences | Other,No formal standard,SpatialTxAssay,1:N - Spatial transcriptomics platform per assay run,CONDITIONAL,GENOMIC,Low,Low
118,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Tissue preservation method - spatial,Enum,"Enum: FFPE | Fresh_frozen_OCT | Fixed_frozen | FFPE_with_RNA_preservation. 
",No formal standard ,SpatialTxAssay,1:1 - One tissue preservation method per spatial Tx specimen,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
119,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Snap freeze time (minutes),Integer (minutes),Type: Integer (minutes). Acceptable range: 0–30 min,No formal standard ,SpatialTxAssay,1:1 - One snap freeze time per fresh-frozen specimen,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
