Var #,Bucket / Workflow Stage,Variable Name,Data Type,"Representative / Possible Values (Ranges, Constraints & Examples)",Relevant Data Standard(s),CDM Entity,Cardinality,Dependency Type,Data Sensitivity Flag,Confidence in Representative / Possible Values,Confidence this Variable is Collected in the EGFR NSCLC Diagnostic Pathway
120,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Section thickness (µm) - spatial,Integer (µm),Type: Integer (µm). Allowed values: 3 | 4 | 5 | 6 | 7 | 8 | 10 ,No formal standard,SpatialTxAssay,1:1 - One section thickness per sectioning event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
121,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,DV200 score (%),Float (%),Type: Float (%). Range: 0.0–100.0,No formal standard,SpatialTxAssay,1:1 - One DV200 score per FFPE specimen per run,CONDITIONAL,GENOMIC,Low,Low
122,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,RNA integrity number (RIN),Float,Type: Float. Range: 1.0–10.0,No formal standard,SpatialTxAssay,1:1 - One RIN per fresh-frozen specimen,CONDITIONAL,GENOMIC,Low,Low
123,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,RNA QC pass/fail,Enum,Enum: Pass | Fail | Not_performed,No formal standard,SpatialTxAssay,1:1 - One RNA QC pass/fail per specimen per run,CONDITIONAL,GENOMIC,Low,Low
124,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,mIF markers panel,String (structured list),"Type: String (structured list of antibody markers with clone identifiers). Format: Marker(Clone), comma-separated. Minimum markers for TME assessment: PanCK + PD-L1 + one T-cell marker + DAPI. Standard 7-plex NSCLC panel: CD3 | CD8 | CD68 | PD-L1 | FOXP3 | pan-CK | DAPI. Additional markers: CD4, CD20, CD56, HLA-DR, Granzyme B",No formal standard,mIFAssay,1:N - Multiple markers in panel; panel may differ per experiment,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
125,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Antibody lot number (mIF),String (per antibody in panel),Type: String (alphanumeric lot ID) per antibody in panel. Format: one lot number per antibody,No formal standard ,mIFAssay,1:N - One lot number per antibody in panel (multiple antibodies per panel),CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
126,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Staining protocol version,String (version identifier),Type: String (version identifier),No formal standard ,mIFAssay,1:N - Protocol version per staining run,CONDITIONAL,UNRESTRICTED,Low,Low
127,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Section age at staining (days unstained),Integer (days),Type: Integer (days). Range: 0–1000+ ,No formal standard ,mIFAssay,1:1 - One section age per sectioning event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
128,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Antigen retrieval buffer pH,Enum,Enum: pH_6.0_citrate | pH_9.0_Tris-EDTA | pH_8.0_EDTA | pH_7.4_neutral | PIER_protease-induced | No_antigen_retrieval,No formal standard ,mIFAssay,1:1 - One antigen retrieval buffer pH per staining cycle,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
129,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Staining cycles count (mIF),Integer,Type: Integer. Range: 1–9,No formal standard ,mIFAssay,1:1 - One staining cycle count per mIF run,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
130,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Saliva collection stimulation method,Enum,Enum: Unstimulated_passive_drool | Stimulated | Swab-based,No formal standard ,OralSpecimen,1:N - Saliva collection method per salivaomics timepoint,CONDITIONAL,GENOMIC,Low,Low
131,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Saliva volume (mL),Float (mL),Type: Float (mL). Range: 0.03–15.0.,No formal standard ,OralSpecimen,1:N - Saliva volume per collection event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
132,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Saliva consistency,Enum,Enum: Watery | Normal | Viscous,No formal standard ,OralSpecimen,1:N - Saliva consistency per collection event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
133,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Pre-collection fast duration (minutes),Integer (minutes),Type: Integer (minutes). Range: 0–240.,No formal standard,OralSpecimen,1:N - Pre-collection fast duration per collection event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
134,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Oral blood contamination flag,Boolean,Type: Boolean: True | False,No formal standard ,OralSpecimen,1:N - Oral blood contamination flag per collection event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
135,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Saliva preservative / stabiliser used,Enum,Enum: None | Streck_Saliva_Cell-Free_NA | OralSave | RNAPRO | OASiS_SuperSAL | N-acetylcysteine | Other. Additional options: RNAlater | DNA/RNA Shield | Oragene | TE buffer,No formal standard ,OralSpecimen,1:N - Preservative choice per collection event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
136,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,BAL collected (boolean),Boolean,Type: Boolean: True | False.,SNOMED CT | HL7 FHIR (structural) | ATS/ERS BAL guidelines ,BALAssay,1:N - BAL collection boolean per bronchoscopy procedure,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
137,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,BAL instilled volume (mL),Integer (mL),Type: Integer (mL). Range: 60–300,ATS/ERS BAL guideline | HL7 FHIR (structural),BALAssay,1:N - Instilled volume per BAL procedure,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
138,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,BAL recovered volume (mL),Integer (mL),Type: Integer (mL). Range: 10–200. ,ATS/ERS BAL guideline | HL7 FHIR (structural),BALAssay,1:N - Recovered volume per BAL procedure,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
139,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,BAL recovery (%),Float (%),Type: Float (%). Range: 0.0–100.0,ATS/ERS BAL guideline | HL7 FHIR (structural),BALAssay,1:N - Recovery percentage per BAL procedure,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
140,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,BAL fraction used (for molecular analysis),Enum,Enum: Bronchial_wash | Alveolar | Combined,No formal standard,BALAssay,1:N - BAL fraction used per molecular analysis event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
141,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Extracellular vesicle isolation performed (boolean),Boolean,Type: Boolean: True | False.,MISEV2023 guidelines,BALAssay,1:N - EV isolation boolean per BAL event,CONDITIONAL,CLINICAL-SENSITIVE,Low,Low
142,Bucket 7 - Future Modalities: Pre-Analytical and Analytical,Assay validation status,Enum,Enum: CE-IVD | FDA_cleared | FDA_approved | CLIA_certified | Institutional_validation | Research_only,ISO 15189:2022  | CLSI EP09 / EP15 / EP25 | FDA IVD classification | CE-IVD Regulation EU 2017/746 | HL7 FHIR (structural),AssayValidationRecord,"1:1 - One validation status per assay platform (assay-level, not patient-level)",CONDITIONAL,UNRESTRICTED,Low,Low
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
